# INFO: GOES 1 min ephemeris
# SAT: GOES7
# DATE: 19890314
#                    UTC     Lat (deg)     Lon (deg)      Rad (Re)
1989-03-14T00:00:00.000000Z    -0.03710228    -129.26934938     6.62946293
1989-03-14T00:01:00.000000Z    -0.03721381    -129.27053038     6.62943976
1989-03-14T00:02:00.000000Z    -0.03732463    -129.27170962     6.62941647
1989-03-14T00:03:00.000000Z    -0.03743473    -129.27288711     6.62939305
1989-03-14T00:04:00.000000Z    -0.03754413    -129.27406283     6.62936951
1989-03-14T00:05:00.000000Z    -0.03765280    -129.27523678     6.62934585
1989-03-14T00:06:00.000000Z    -0.03776077    -129.27640894     6.62932207
1989-03-14T00:07:00.000000Z    -0.03786801    -129.27757930     6.62929817
1989-03-14T00:08:00.000000Z    -0.03797453    -129.27874786     6.62927414
1989-03-14T00:09:00.000000Z    -0.03808033    -129.27991460     6.62925000
1989-03-14T00:10:00.000000Z    -0.03818541    -129.28107953     6.62922574
1989-03-14T00:11:00.000000Z    -0.03828975    -129.28224262     6.62920136
1989-03-14T00:12:00.000000Z    -0.03839337    -129.28340387     6.62917686
1989-03-14T00:13:00.000000Z    -0.03849626    -129.28456327     6.62915224
1989-03-14T00:14:00.000000Z    -0.03859842    -129.28572082     6.62912751
1989-03-14T00:15:00.000000Z    -0.03869984    -129.28687650     6.62910266
1989-03-14T00:16:00.000000Z    -0.03880052    -129.28803030     6.62907769
1989-03-14T00:17:00.000000Z    -0.03890046    -129.28918222     6.62905261
1989-03-14T00:18:00.000000Z    -0.03899967    -129.29033224     6.62902741
1989-03-14T00:19:00.000000Z    -0.03909813    -129.29148037     6.62900209
1989-03-14T00:20:00.000000Z    -0.03919584    -129.29262658     6.62897666
1989-03-14T00:21:00.000000Z    -0.03929281    -129.29377088     6.62895112
1989-03-14T00:22:00.000000Z    -0.03938904    -129.29491324     6.62892546
1989-03-14T00:23:00.000000Z    -0.03948451    -129.29605367     6.62889969
1989-03-14T00:24:00.000000Z    -0.03957923    -129.29719216     6.62887381
1989-03-14T00:25:00.000000Z    -0.03967320    -129.29832869     6.62884781
1989-03-14T00:26:00.000000Z    -0.03976641    -129.29946326     6.62882171
1989-03-14T00:27:00.000000Z    -0.03985886    -129.30059586     6.62879549
1989-03-14T00:28:00.000000Z    -0.03995056    -129.30172648     6.62876916
1989-03-14T00:29:00.000000Z    -0.04004149    -129.30285512     6.62874272
1989-03-14T00:30:00.000000Z    -0.04013166    -129.30398176     6.62871617
1989-03-14T00:31:00.000000Z    -0.04022107    -129.30510639     6.62868952
1989-03-14T00:32:00.000000Z    -0.04030971    -129.30622902     6.62866275
1989-03-14T00:33:00.000000Z    -0.04039758    -129.30734962     6.62863588
1989-03-14T00:34:00.000000Z    -0.04048468    -129.30846820     6.62860889
1989-03-14T00:35:00.000000Z    -0.04057102    -129.30958474     6.62858180
1989-03-14T00:36:00.000000Z    -0.04065658    -129.31069924     6.62855461
1989-03-14T00:37:00.000000Z    -0.04074136    -129.31181169     6.62852730
1989-03-14T00:38:00.000000Z    -0.04082537    -129.31292207     6.62849990
1989-03-14T00:39:00.000000Z    -0.04090860    -129.31403039     6.62847238
1989-03-14T00:40:00.000000Z    -0.04099105    -129.31513663     6.62844477
1989-03-14T00:41:00.000000Z    -0.04107273    -129.31624079     6.62841704
1989-03-14T00:42:00.000000Z    -0.04115362    -129.31734285     6.62838922
1989-03-14T00:43:00.000000Z    -0.04123372    -129.31844282     6.62836129
1989-03-14T00:44:00.000000Z    -0.04131304    -129.31954068     6.62833326
1989-03-14T00:45:00.000000Z    -0.04139157    -129.32063642     6.62830513
1989-03-14T00:46:00.000000Z    -0.04146932    -129.32173004     6.62827689
1989-03-14T00:47:00.000000Z    -0.04154627    -129.32282153     6.62824856
1989-03-14T00:48:00.000000Z    -0.04162243    -129.32391088     6.62822012
1989-03-14T00:49:00.000000Z    -0.04169780    -129.32499809     6.62819159
1989-03-14T00:50:00.000000Z    -0.04177237    -129.32608314     6.62816295
1989-03-14T00:51:00.000000Z    -0.04184615    -129.32716604     6.62813422
1989-03-14T00:52:00.000000Z    -0.04191913    -129.32824676     6.62810539
1989-03-14T00:53:00.000000Z    -0.04199132    -129.32932532     6.62807646
1989-03-14T00:54:00.000000Z    -0.04206270    -129.33040168     6.62804743
1989-03-14T00:55:00.000000Z    -0.04213328    -129.33147586     6.62801831
1989-03-14T00:56:00.000000Z    -0.04220306    -129.33254784     6.62798909
1989-03-14T00:57:00.000000Z    -0.04227203    -129.33361762     6.62795978
1989-03-14T00:58:00.000000Z    -0.04234020    -129.33468518     6.62793037
1989-03-14T00:59:00.000000Z    -0.04240756    -129.33575053     6.62790087
1989-03-14T01:00:00.000000Z    -0.04247411    -129.33681365     6.62787127
1989-03-14T01:01:00.000000Z    -0.04253986    -129.33787453     6.62784158
1989-03-14T01:02:00.000000Z    -0.04260479    -129.33893318     6.62781179
1989-03-14T01:03:00.000000Z    -0.04266891    -129.33998958     6.62778192
1989-03-14T01:04:00.000000Z    -0.04273222    -129.34104372     6.62775195
1989-03-14T01:05:00.000000Z    -0.04279471    -129.34209561     6.62772190
1989-03-14T01:06:00.000000Z    -0.04285638    -129.34314523     6.62769175
1989-03-14T01:07:00.000000Z    -0.04291724    -129.34419257     6.62766151
1989-03-14T01:08:00.000000Z    -0.04297729    -129.34523763     6.62763118
1989-03-14T01:09:00.000000Z    -0.04303651    -129.34628040     6.62760077
1989-03-14T01:10:00.000000Z    -0.04309491    -129.34732088     6.62757026
1989-03-14T01:11:00.000000Z    -0.04315249    -129.34835906     6.62753967
1989-03-14T01:12:00.000000Z    -0.04320925    -129.34939493     6.62750899
1989-03-14T01:13:00.000000Z    -0.04326518    -129.35042848     6.62747823
1989-03-14T01:14:00.000000Z    -0.04332029    -129.35145972     6.62744738
1989-03-14T01:15:00.000000Z    -0.04337457    -129.35248862     6.62741645
1989-03-14T01:16:00.000000Z    -0.04342803    -129.35351519     6.62738543
1989-03-14T01:17:00.000000Z    -0.04348066    -129.35453943     6.62735432
1989-03-14T01:18:00.000000Z    -0.04353246    -129.35556131     6.62732313
1989-03-14T01:19:00.000000Z    -0.04358342    -129.35658084     6.62729186
1989-03-14T01:20:00.000000Z    -0.04363356    -129.35759802     6.62726051
1989-03-14T01:21:00.000000Z    -0.04368287    -129.35861282     6.62722908
1989-03-14T01:22:00.000000Z    -0.04373134    -129.35962526     6.62719756
1989-03-14T01:23:00.000000Z    -0.04377898    -129.36063532     6.62716597
1989-03-14T01:24:00.000000Z    -0.04382578    -129.36164299     6.62713429
1989-03-14T01:25:00.000000Z    -0.04387175    -129.36264828     6.62710254
1989-03-14T01:26:00.000000Z    -0.04391688    -129.36365117     6.62707070
1989-03-14T01:27:00.000000Z    -0.04396117    -129.36465166     6.62703879
1989-03-14T01:28:00.000000Z    -0.04400463    -129.36564974     6.62700680
1989-03-14T01:29:00.000000Z    -0.04404724    -129.36664541     6.62697474
1989-03-14T01:30:00.000000Z    -0.04408902    -129.36763865     6.62694260
1989-03-14T01:31:00.000000Z    -0.04412995    -129.36862948     6.62691038
1989-03-14T01:32:00.000000Z    -0.04417004    -129.36961787     6.62687809
1989-03-14T01:33:00.000000Z    -0.04420929    -129.37060383     6.62684572
1989-03-14T01:34:00.000000Z    -0.04424770    -129.37158734     6.62681328
1989-03-14T01:35:00.000000Z    -0.04428526    -129.37256841     6.62678077
1989-03-14T01:36:00.000000Z    -0.04432198    -129.37354702     6.62674818
1989-03-14T01:37:00.000000Z    -0.04435785    -129.37452318     6.62671552
1989-03-14T01:38:00.000000Z    -0.04439288    -129.37549687     6.62668279
1989-03-14T01:39:00.000000Z    -0.04442705    -129.37646810     6.62664999
1989-03-14T01:40:00.000000Z    -0.04446038    -129.37743684     6.62661712
1989-03-14T01:41:00.000000Z    -0.04449287    -129.37840311     6.62658418
1989-03-14T01:42:00.000000Z    -0.04452450    -129.37936690     6.62655118
1989-03-14T01:43:00.000000Z    -0.04455528    -129.38032819     6.62651810
1989-03-14T01:44:00.000000Z    -0.04458522    -129.38128699     6.62648496
1989-03-14T01:45:00.000000Z    -0.04461430    -129.38224328     6.62645174
1989-03-14T01:46:00.000000Z    -0.04464253    -129.38319708     6.62641847
1989-03-14T01:47:00.000000Z    -0.04466991    -129.38414836     6.62638512
1989-03-14T01:48:00.000000Z    -0.04469643    -129.38509712     6.62635172
1989-03-14T01:49:00.000000Z    -0.04472211    -129.38604337     6.62631824
1989-03-14T01:50:00.000000Z    -0.04474693    -129.38698709     6.62628471
1989-03-14T01:51:00.000000Z    -0.04477089    -129.38792828     6.62625111
1989-03-14T01:52:00.000000Z    -0.04479400    -129.38886693     6.62621745
1989-03-14T01:53:00.000000Z    -0.04481626    -129.38980305     6.62618372
1989-03-14T01:54:00.000000Z    -0.04483766    -129.39073662     6.62614994
1989-03-14T01:55:00.000000Z    -0.04485820    -129.39166764     6.62611609
1989-03-14T01:56:00.000000Z    -0.04487789    -129.39259611     6.62608219
1989-03-14T01:57:00.000000Z    -0.04489672    -129.39352202     6.62604822
1989-03-14T01:58:00.000000Z    -0.04491470    -129.39444537     6.62601420
1989-03-14T01:59:00.000000Z    -0.04493181    -129.39536615     6.62598012
1989-03-14T02:00:00.000000Z    -0.04494807    -129.39628436     6.62594598
1989-03-14T02:01:00.000000Z    -0.04496347    -129.39719999     6.62591179
1989-03-14T02:02:00.000000Z    -0.04497801    -129.39811305     6.62587753
1989-03-14T02:03:00.000000Z    -0.04499170    -129.39902352     6.62584323
1989-03-14T02:04:00.000000Z    -0.04500452    -129.39993140     6.62580887
1989-03-14T02:05:00.000000Z    -0.04501648    -129.40083669     6.62577445
1989-03-14T02:06:00.000000Z    -0.04502759    -129.40173938     6.62573998
1989-03-14T02:07:00.000000Z    -0.04503783    -129.40263948     6.62570546
1989-03-14T02:08:00.000000Z    -0.04504722    -129.40353696     6.62567089
1989-03-14T02:09:00.000000Z    -0.04505574    -129.40443184     6.62563626
1989-03-14T02:10:00.000000Z    -0.04506340    -129.40532411     6.62560159
1989-03-14T02:11:00.000000Z    -0.04507021    -129.40621376     6.62556686
1989-03-14T02:12:00.000000Z    -0.04507615    -129.40710079     6.62553208
1989-03-14T02:13:00.000000Z    -0.04508123    -129.40798520     6.62549726
1989-03-14T02:14:00.000000Z    -0.04508545    -129.40886698     6.62546239
1989-03-14T02:15:00.000000Z    -0.04508881    -129.40974613     6.62542747
1989-03-14T02:16:00.000000Z    -0.04509131    -129.41062264     6.62539250
1989-03-14T02:17:00.000000Z    -0.04509294    -129.41149652     6.62535749
1989-03-14T02:18:00.000000Z    -0.04509371    -129.41236775     6.62532243
1989-03-14T02:19:00.000000Z    -0.04509363    -129.41323634     6.62528732
1989-03-14T02:20:00.000000Z    -0.04509268    -129.41410228     6.62525217
1989-03-14T02:21:00.000000Z    -0.04509087    -129.41496557     6.62521698
1989-03-14T02:22:00.000000Z    -0.04508820    -129.41582620     6.62518175
1989-03-14T02:23:00.000000Z    -0.04508466    -129.41668417     6.62514647
1989-03-14T02:24:00.000000Z    -0.04508027    -129.41753949     6.62511115
1989-03-14T02:25:00.000000Z    -0.04507501    -129.41839213     6.62507580
1989-03-14T02:26:00.000000Z    -0.04506889    -129.41924211     6.62504040
1989-03-14T02:27:00.000000Z    -0.04506191    -129.42008942     6.62500496
1989-03-14T02:28:00.000000Z    -0.04505407    -129.42093406     6.62496948
1989-03-14T02:29:00.000000Z    -0.04504537    -129.42177602     6.62493397
1989-03-14T02:30:00.000000Z    -0.04503581    -129.42261529     6.62489841
1989-03-14T02:31:00.000000Z    -0.04502538    -129.42345189     6.62486282
1989-03-14T02:32:00.000000Z    -0.04501410    -129.42428580     6.62482720
1989-03-14T02:33:00.000000Z    -0.04500195    -129.42511702     6.62479154
1989-03-14T02:34:00.000000Z    -0.04498895    -129.42594556     6.62475584
1989-03-14T02:35:00.000000Z    -0.04497508    -129.42677139     6.62472011
1989-03-14T02:36:00.000000Z    -0.04496036    -129.42759454     6.62468435
1989-03-14T02:37:00.000000Z    -0.04494477    -129.42841498     6.62464855
1989-03-14T02:38:00.000000Z    -0.04492833    -129.42923272     6.62461272
1989-03-14T02:39:00.000000Z    -0.04491103    -129.43004776     6.62457686
1989-03-14T02:40:00.000000Z    -0.04489286    -129.43086009     6.62454097
1989-03-14T02:41:00.000000Z    -0.04487384    -129.43166972     6.62450505
1989-03-14T02:42:00.000000Z    -0.04485397    -129.43247663     6.62446910
1989-03-14T02:43:00.000000Z    -0.04483323    -129.43328084     6.62443312
1989-03-14T02:44:00.000000Z    -0.04481164    -129.43408232     6.62439712
1989-03-14T02:45:00.000000Z    -0.04478919    -129.43488109     6.62436108
1989-03-14T02:46:00.000000Z    -0.04476588    -129.43567715     6.62432502
1989-03-14T02:47:00.000000Z    -0.04474172    -129.43647048     6.62428893
1989-03-14T02:48:00.000000Z    -0.04471670    -129.43726108     6.62425282
1989-03-14T02:49:00.000000Z    -0.04469082    -129.43804897     6.62421669
1989-03-14T02:50:00.000000Z    -0.04466410    -129.43883412     6.62418053
1989-03-14T02:51:00.000000Z    -0.04463651    -129.43961655     6.62414434
1989-03-14T02:52:00.000000Z    -0.04460808    -129.44039624     6.62410814
1989-03-14T02:53:00.000000Z    -0.04457879    -129.44117321     6.62407191
1989-03-14T02:54:00.000000Z    -0.04454864    -129.44194744     6.62403566
