File created on 2021-08-30T14:00:00.134577
File created on 2016-01-15T21:33:45.138918
#COOR
GSM


#START
2001 08 30 19 00 01 000        0.00      -3.73      -4.64    -459.54     -30.01     -12.60       3.61   83770.44
2001 08 30 19 45 01 000        0.00      -3.60       1.92    -442.51     -22.56       1.35       3.87  125414.50
2001 08 30 20 30 01 000        0.00      -3.72       3.06    -437.16     -21.13      26.10       2.93   84367.69
2001 08 30 21 15 01 000        0.00      -2.80       4.43    -437.42     -14.11      43.24       2.75   47311.69
2001 08 30 22 00 01 000        0.00      -2.70       4.07    -428.93     -22.96      42.87       4.10   53360.10
2001 08 30 22 45 01 000        0.00      -2.70       2.08    -419.40     -23.38      39.65       3.90   77428.67
2001 08 30 23 30 01 000        0.00      -1.97      -0.13    -409.76     -17.15      34.33       3.36   89464.75
2001 08 31 00 15 01 000        0.00      -1.68      -1.76    -406.41     -17.04      29.51       3.06   84212.73
2001 08 31 01 00 01 000        0.00      -1.84      -1.34    -405.00     -17.61      24.06       2.92   87494.85
2001 08 31 01 45 01 000        0.00      -3.13      -3.07    -409.81     -36.34       9.57       4.93   84827.17
2001 08 31 02 30 01 000        0.00      -3.64      -3.94    -409.59     -45.41       6.99       5.94   70524.43
2001 08 31 03 15 01 000        0.00      -3.71      -3.52    -395.81     -43.70      20.13       4.97   57519.72
2001 08 31 04 00 01 000        0.00      -3.38      -4.60    -394.17     -41.79      21.60       4.75   42512.30
2001 08 31 04 45 01 000        0.00      -3.18      -3.33    -384.94     -32.22      21.33       4.53   39179.43
2001 08 31 05 30 01 000        0.00      -2.97      -3.62    -385.21     -23.58      24.08       4.49   39649.18
2001 08 31 06 15 01 000        0.00      -2.70      -4.94    -391.95     -31.81      20.44       5.23   14876.80
2001 08 31 07 00 01 000        0.00      -4.21      -3.95    -388.41     -34.81      31.51       4.99   38067.90
2001 08 31 07 45 01 000        0.00      -1.11      -5.03    -419.33       8.85      28.57       4.70   65091.59
2001 08 31 08 30 01 000        0.00      -1.35      -5.65    -434.67      21.90       6.50       4.74   30056.94
2001 08 31 09 15 01 000        0.00      -3.32      -5.07    -422.26       9.10      13.05       5.72   65914.25
2001 08 31 10 00 01 000        0.00       1.52      -2.49    -428.58      26.22      13.65       5.99  108953.13
2001 08 31 10 45 01 000        0.00      -0.55       1.60    -429.49      27.39     -10.86       3.97  127236.50
2001 08 31 11 30 01 000        0.00      -0.30      -0.54    -433.85      34.68     -27.00       4.56  155795.58
2001 08 31 12 15 01 000        0.00       3.64      -2.09    -439.31      37.71     -19.79       4.42  135538.59
2001 08 31 13 00 01 000        0.00       0.95       0.86    -425.55      25.23       3.11       2.93  133900.06
2001 08 31 13 45 01 000        0.00       0.29       2.27    -416.99      26.60      12.34       2.69  142745.14
2001 08 31 14 30 01 000        0.00      -0.70       2.65    -416.76      32.67      13.96       2.64  134332.46
2001 08 31 15 15 01 000        0.00      -2.72       2.58    -410.30      37.87      27.75       3.35  130825.06
2001 08 31 16 00 01 000        0.00      -2.70       2.09    -419.90      32.46      26.41       2.04  135582.54
2001 08 31 16 45 01 000        0.00      -1.79       0.32    -457.24      42.91       2.19       4.98  121977.47
2001 08 31 17 30 01 000        0.00      -2.09      -0.39    -465.41      36.74      -2.14       7.04   90343.44
2001 08 31 18 15 01 000        0.00      -3.86       0.12    -442.84       9.04       2.82       2.53   98380.91
2001 08 31 19 00 01 000        0.00      -3.05      -0.16    -438.48      20.04      -1.14       2.45  109941.35
2001 08 31 19 45 01 000        0.00      -1.78      -0.58    -434.03      22.65       1.04       3.05  120624.03
2001 08 31 20 30 01 000        0.00      -1.32      -1.31    -427.16      17.71      -0.46       2.46  131155.29
2001 08 31 21 15 01 000        0.00      -2.01      -0.89    -432.52      20.53       3.03       2.84  117097.05
2001 08 31 22 00 01 000        0.00      -2.65      -1.25    -433.05      11.69       5.32       2.66  107751.33
2001 08 31 22 45 01 000        0.00      -1.36      -1.65    -424.22      15.51       1.48       3.14   84262.47
2001 08 31 23 30 01 000        0.00      -1.37      -0.37    -424.83      21.48       7.38       2.68   63038.76
