File created on 2020-11-05T09:37:15.235845
File created on 2016-01-15T21:32:13.992205
#COOR
GSM


#START
2005 08 31 05 00 01 000        0.00      -1.74      -4.09    -374.98      32.15       5.33      11.34   34688.35
2005 08 31 06 00 01 000        0.00      -8.47       1.14    -373.95      33.39       4.82      11.21   34640.31
2005 08 31 07 00 01 000        0.00      -3.20       3.88    -374.84      35.33      14.73      10.83   35736.54
2005 08 31 08 00 01 000        0.00      -4.70       9.20    -372.34      37.28       3.10      10.78   36334.37
2005 08 31 09 00 01 000        0.00       3.80       9.99    -394.50       4.42      -1.07      10.95   39281.39
2005 08 31 10 00 01 000        0.00      14.77       5.02    -410.32      -7.51      41.15      15.84   28352.63
2005 08 31 11 00 01 000        0.00      13.86       8.13    -403.72       0.10      25.66      21.10   51454.24
2005 08 31 12 00 01 000        0.00      14.34       0.40    -398.26       1.50      20.52      29.56   85425.89
2005 08 31 13 00 01 000        0.00      11.90     -13.52    -389.94      13.21      51.64      36.93   76493.61
2005 08 31 14 00 01 000        0.00       7.64     -13.49    -386.63      21.08      36.82      33.72   72607.08
2005 08 31 15 00 01 000        0.00       2.92     -14.83    -385.37      20.35      35.27      29.86   71093.49
2005 08 31 16 00 01 000        0.00       5.60     -16.13    -391.67      12.05      23.03      21.29   77509.73
2005 08 31 17 00 01 000        0.00      -1.93     -14.62    -396.10       1.42      19.75      20.49   61945.01
2005 08 31 18 00 01 000        0.00     -14.17     -11.30    -388.35     -12.23      39.65      27.23   30157.51
2005 08 31 19 00 01 000        0.00       3.68      -4.57    -402.91      11.38       9.87      16.79  104669.64
2005 08 31 20 00 01 000        0.00       8.28      -6.61    -420.52      36.17     -22.57      13.40  176681.13
2005 08 31 21 00 01 000        0.00       3.23     -10.61    -413.40       7.07     -11.25      19.31  145109.69
2005 08 31 22 00 01 000        0.00      10.32      -0.98    -415.61       6.64     -11.24      16.32  154198.05
2005 08 31 23 00 01 000        0.00       6.00       5.37    -443.71      27.27     -44.02      12.80  160203.80
2005 09 01 00 00 01 000        0.00       8.50      -0.83    -463.93      33.66     -55.07       9.58   97474.26
2005 09 01 01 00 01 000        0.00       7.89       0.03    -470.96      36.85     -47.24       9.59  111418.32
2005 09 01 02 00 01 000        0.00       1.72       1.16    -487.27      19.61     -37.31       9.05  163138.87
2005 09 01 03 00 01 000        0.00       4.14      -2.64    -494.01      16.04     -27.79       7.63  156256.41
2005 09 01 04 00 01 000        0.00       2.07      -0.94    -491.15      20.41     -31.78       8.61  161291.99
2005 09 01 05 00 01 000        0.00       2.87      -1.41    -491.30       9.32     -27.85       6.82  167278.51
2005 09 01 06 00 01 000        0.00       3.38      -1.29    -489.82       7.82     -26.01       6.59  141854.06
2005 09 01 07 00 01 000        0.00       2.04       1.05    -489.54       6.01     -28.52       6.86  123536.69
2005 09 01 08 00 01 000        0.00       4.03       0.06    -485.84      -4.78     -23.22       6.07  114028.22
2005 09 01 09 00 01 000        0.00       2.13      -0.63    -484.64      -6.72     -20.70       6.77  103265.30
2005 09 01 10 00 01 000        0.00       2.28      -2.56    -481.47      -5.19     -16.50       6.66   92958.84
2005 09 01 11 00 01 000        0.00       1.99      -4.14    -475.06      -8.68      -9.03       6.78   78593.16
